_date,total_clones,unique_clones
2022-11-14,1,1
2022-11-15,1,1
2022-11-16,2,1
2022-11-26,1,1
2022-11-27,17,8
2022-11-28,3,2
2022-11-30,2,2
2022-12-01,1,1
2022-12-04,2,2
2022-12-05,2,2
2022-12-07,2,1
2022-12-09,1,1
2022-12-10,1,1
2022-12-11,1,1
2022-12-12,1,1
2022-12-18,1,1
2022-12-19,1,1
2022-12-20,1,1
2022-12-25,1,1
2022-12-26,1,1
2023-01-01,1,1
2023-01-02,2,2
2023-01-03,2,1
2023-01-04,1,1
2023-01-08,2,2
2023-01-09,3,3
2023-01-10,1,1
2023-01-12,1,1
2023-01-15,1,1
2023-01-16,2,2
2023-01-19,1,1
2023-01-22,1,1
2023-01-23,2,2
2023-01-29,1,1
2023-01-30,2,2
2023-02-01,1,1
2023-02-05,1,1
2023-02-06,1,1
2023-02-12,1,1
2023-02-13,2,2
2023-02-14,1,1
2023-02-15,1,1
2023-02-17,5,1
2023-02-19,1,1
2023-02-20,1,1
2023-02-25,5,1
2023-02-26,1,1
2023-02-27,1,1
2023-03-02,4,3
2023-03-05,1,1
2023-03-06,2,2
2023-03-12,1,1
2023-03-13,1,1
2023-03-14,1,1
2023-03-19,1,1
2023-03-20,2,2
2023-03-23,3,3
2023-03-26,1,1
2023-03-27,1,1
2023-03-29,1,1
2023-04-01,2,1
2023-04-02,1,1
2023-04-03,1,1
2023-04-09,1,1
2023-04-10,1,1
2023-04-11,1,1
2023-04-15,1,1
2023-04-16,1,1
2023-04-17,2,2
2023-04-19,1,1
2023-04-23,1,1
2023-04-24,4,3
2023-04-30,1,1
2023-05-01,3,2
2023-05-02,1,1
2023-05-07,1,1
2023-05-08,3,2
2023-05-14,1,1
2023-05-15,4,3
2023-05-17,1,1
2023-05-19,1,1
2023-05-21,1,1
2023-05-22,6,4
2023-05-26,1,1
2023-05-28,2,2
2023-05-29,6,5
2023-06-04,1,1
2023-06-05,5,4
2023-06-11,1,1
2023-06-12,4,2
2023-06-13,1,1
2023-06-18,1,1
2023-06-19,2,1
2023-06-22,3,2
2023-06-25,1,1
2023-06-26,4,3
2023-06-27,1,1
2023-06-30,1,1
2023-07-02,4,2
2023-07-03,3,2
2023-07-09,1,1
2023-07-10,3,2
2023-07-14,1,1
2023-07-16,1,1
2023-07-17,4,3
2023-07-20,4,1
2023-07-23,1,1
2023-07-24,3,2
2023-07-28,2,1
2023-07-30,1,1
2023-07-31,5,4
2023-08-01,1,1
2023-08-06,2,2
2023-08-07,3,2
2023-08-08,3,2
2023-08-10,1,1
2023-08-13,1,1
2023-08-14,3,2
2023-08-17,2,2
2023-08-20,1,1
2023-08-21,5,4
2023-08-25,2,1
2023-08-27,1,1
2023-08-28,7,6
2023-09-03,1,1
2023-09-04,3,2
2023-09-07,1,1
2023-09-10,1,1
2023-09-11,4,3
2023-09-12,2,1
2023-09-14,1,1
2023-09-15,1,1
2023-09-16,2,2
2023-09-17,1,1
2023-09-18,6,5
2023-09-24,2,2
2023-09-25,5,4
2023-09-29,1,1
2023-10-01,1,1
2023-10-02,6,5
2023-10-05,3,1
2023-10-08,1,1
2023-10-09,3,2
2023-10-10,2,1
2023-10-15,1,1
2023-10-16,3,2
2023-10-22,1,1
2023-10-23,5,5
2023-10-29,1,1
2023-10-30,2,2
2023-10-31,3,1
2023-11-05,1,1
2023-11-06,3,3
2023-11-07,1,1
2023-11-09,1,1
2023-11-12,1,1
2023-11-13,6,6
2023-11-19,4,2
2023-11-20,4,4
2023-11-25,3,1
2023-11-26,1,1
2023-11-27,2,2
2023-11-30,1,1
2023-12-03,2,2
2023-12-04,1,1
2023-12-06,1,1
2023-12-07,1,1
2023-12-09,4,2
2023-12-10,1,1
2023-12-11,3,3
2023-12-13,3,1
2023-12-15,1,1
2023-12-17,1,1
2023-12-18,2,2
2023-12-19,1,1
2023-12-20,1,1
2023-12-21,2,2
2023-12-22,1,1
2023-12-24,1,1
2023-12-25,3,3
2023-12-28,3,1
2023-12-29,1,1
2023-12-30,5,2
2023-12-31,3,3
2024-01-01,5,4
2024-01-02,3,1
2024-01-06,5,2
2024-01-07,2,2
2024-01-08,2,2
2024-01-09,3,1
2024-01-10,1,1
2024-01-12,1,1
2024-01-14,2,2
2024-01-15,5,5
2024-01-17,1,1
2024-01-18,2,2
2024-01-20,1,1
2024-01-21,1,1
2024-01-22,2,2
2024-01-23,1,1
2024-01-24,3,1
2024-01-25,2,2
2024-01-26,1,1
2024-01-27,1,1
2024-01-28,1,1
2024-01-29,2,2
2024-01-30,1,1
2024-02-02,1,1
2024-02-04,1,1
2024-02-05,2,2
2024-02-09,2,2
2024-02-11,1,1
2024-02-12,2,2
2024-02-17,1,1
2024-02-18,1,1
2024-02-19,2,2
2024-02-23,1,1
2024-02-25,1,1
2024-02-26,3,3
2024-03-01,1,1
2024-03-03,1,1
2024-03-04,2,2
2024-03-09,1,1
2024-03-10,1,1
2024-03-11,3,3
2024-03-12,1,1
2024-03-13,1,1
2024-03-17,1,1
2024-03-18,2,2
2024-03-20,1,1
2024-03-24,1,1
2024-03-25,1,1
2024-03-28,1,1
2024-03-30,1,1
2024-03-31,2,2
2024-04-05,8,6
2024-04-06,2,2
2024-04-07,1,1
