_date,total_views,unique_views
2022-11-15,3,1
2022-11-26,196,111
2022-11-27,145,96
2022-11-28,21,19
2022-11-29,7,4
2022-11-30,14,7
2022-12-01,3,3
2022-12-02,3,3
2022-12-03,8,5
2022-12-05,5,3
2022-12-06,2,2
2022-12-07,1,1
2022-12-08,2,2
2022-12-09,1,1
2022-12-10,2,2
2022-12-11,3,2
2022-12-13,1,1
2022-12-17,1,1
2022-12-18,16,4
2022-12-19,1,1
2022-12-21,1,1
2022-12-22,7,1
2022-12-25,2,2
2022-12-26,1,1
2022-12-28,1,1
2022-12-29,1,1
2022-12-30,1,1
2023-01-01,1,1
2023-01-02,3,2
2023-01-03,18,1
2023-01-04,2,2
2023-01-06,2,2
2023-01-07,17,2
2023-01-08,2,1
2023-01-10,1,1
2023-01-13,1,1
2023-01-14,2,1
2023-01-19,1,1
2023-01-20,3,2
2023-01-22,1,1
